,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
3627,"frozenset({'6.002x', ""26-35, United States, Bachelor's, Low, Not Certified"", '3.091x'})",frozenset({'6.00x'}),0.002109094620107836,0.4380283367067508,0.001241644413450581,0.5887096774193549,1.3439990705749285,1.0,0.0003178012050475892,1.3663624754580963,0.25649283407236856,0.0028290187567818945,0.2681297840349919,0.2957721493142672
1189,"frozenset({'6.002x', '18-25, Other Middle East/Central Asia, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.0024152535165751026,0.4380283367067508,0.0014117326892657289,0.5845070422535211,1.3344046338372721,1.0,0.0003537832086752059,1.3525419692820575,0.2512088558150694,0.0032155586548891987,0.2606514084507042,0.29386498386896537
1696,"frozenset({'CS50x', ""26-35, United States, Master's, Low, Not Certified""})",frozenset({'6.00x'}),0.0047964893779871755,0.4380283367067508,0.002789447723368428,0.5815602836879432,1.3276773097839183,1.0,0.0006884494590971078,1.343017025836409,0.24799443590135847,0.006339144215530904,0.25540780141843966,0.29396423690085816
1592,"frozenset({""26-35, United States, Bachelor's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.009286819859507084,0.4380283367067508,0.005391798343340194,0.5805860805860806,1.3254532456761325,1.0,0.0013239080869850844,1.3398975028738607,0.2478427694438874,0.0122007543684089,0.25367425653442616,0.2964476630554369
288,"frozenset({'18-25, Russian Federation, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.0025853417923902508,0.4380283367067508,0.001496776827173303,0.5789473684210525,1.3217121357348247,1.0,0.0003643238620341517,1.3346827003214665,0.24403651804275944,0.003408606731998296,0.25075825156110604,0.29118222302153857
935,"frozenset({'18-25, Brazil, Secondary, Low, Not Certified', '6.002x'})",frozenset({'6.00x'}),0.0021261034476893507,0.4380283367067508,0.0012246355858690661,0.5760000000000001,1.314983419407448,1.0,0.00029334202901121144,1.3254048662576634,0.24004449709476305,0.0027900488258544524,0.24551355932203403,0.2893978953908283
3382,"frozenset({""18-25, India, Bachelor's, Low, Not Certified"", '6.00x', '8.02x'})",frozenset({'6.002x'}),0.003248686068069328,0.2925008079193101,0.0018709710339666287,0.5759162303664921,1.9689389388810357,1.0,0.0009207277343801434,1.6683005640421205,0.4937161623401001,0.006366477601574256,0.4005876269818533,0.29115634743305707
1261,"frozenset({""18-25, United States, Bachelor's, Low, Not Certified"", '6.002x'})",frozenset({'6.00x'}),0.011872161651897334,0.4380283367067508,0.006803531032605922,0.5730659025787965,1.3082850002063908,1.0,0.001603187811111662,1.316296043552644,0.23847172734314487,0.015354496948293734,0.24029248215239662,0.29429903679399966
367,"frozenset({""26-35, China, Bachelor's, Low, Not Certified""})",frozenset({'ER22x'}),0.002177129930433895,0.2261833891789839,0.001241644413450581,0.5703125,2.5214605814784177,1.0,0.0007492137871020371,1.8008822942743645,0.604721024530974,0.005466936269003221,0.4447166240795692,0.28790102365017295
92,"frozenset({'18-25, Egypt, Secondary, Low, Not Certified'})",frozenset({'6.00x'}),0.004745462895242631,0.4380283367067508,0.002704403585460854,0.5698924731182796,1.30104019617299,1.0,0.0006257563665541224,1.3065841171568047,0.232487500169287,0.0061454025431917445,0.23464552578822684,0.28803325554721887
